token,attribution,model
with,-4.8926746e-10,Pure Semantic
##sal,-3.1048636e-10,Pure Semantic
##es,9.373633e-10,Pure Semantic
",",-6.3667593e-10,Pure Semantic
marketing,-2.3478813e-10,Pure Semantic
",",-1.1293694e-09,Pure Semantic
inventory,1.2393347e-09,Pure Semantic
management,1.5329054e-09,Pure Semantic
",",7.7992923e-10,Pure Semantic
supply,1.401421e-09,Pure Semantic
chain,4.3916704e-11,Pure Semantic
and,-3.016395e-09,Pure Semantic
financed,7.8536666e-10,Pure Semantic
##oma,5.82644e-11,Pure Semantic
##ins,3.9205156e-10,Pure Semantic
.,9.605202e-10,Pure Semantic
delivered,-7.411505e-10,Pure Semantic
bi,3.5905767e-10,Pure Semantic
reporting,1.2849526e-09,Pure Semantic
solutions,-2.0352672e-10,Pure Semantic
in,9.450814e-11,Pure Semantic
power,5.2789917e-10,Pure Semantic
bi,-9.881678e-10,Pure Semantic
",",1.4546839e-10,Pure Semantic
reporting,6.7796807e-10,Pure Semantic
services,-2.7211106e-10,Pure Semantic
(,-3.860125e-10,Pure Semantic
ssr,-2.0016128e-10,Pure Semantic
##s,-2.4073255e-10,Pure Semantic
),1.1311432e-09,Pure Semantic
.,1.2731779e-09,Pure Semantic
expertise,3.123901e-11,Pure Semantic
ind,5.562283e-10,Pure Semantic
##ata,6.900551e-10,Pure Semantic
ware,-1.1136945e-09,Pure Semantic
##ho,-1.15058976e-10,Pure Semantic
##using,-2.342389e-09,Pure Semantic
architecture,1.2030843e-09,Pure Semantic
##sin,6.9249884e-12,Pure Semantic
##cl,3.1117423e-10,Pure Semantic
##uding,-6.755786e-10,Pure Semantic
##et,3.180555e-10,Pure Semantic
##lde,1.0561116e-09,Pure Semantic
##si,-5.726359e-10,Pure Semantic
##gn,-3.4109446e-10,Pure Semantic
",",-4.1508919e-10,Pure Semantic
staging,1.3102036e-09,Pure Semantic
",",-1.8967852e-09,Pure Semantic
transformations,7.601544e-10,Pure Semantic
",",-3.2837688e-09,Pure Semantic
delta,-9.777475e-10,Pure Semantic
/,-7.289644e-10,Pure Semantic
change,1.9535407e-10,Pure Semantic
data,3.0941694e-09,Pure Semantic
##cap,3.1329944e-10,Pure Semantic
##ture,-6.697276e-11,Pure Semantic
",",-1.5550728e-09,Pure Semantic
star,-4.122183e-09,Pure Semantic
-,-1.531251e-09,Pure Semantic
sc,-2.1907571e-09,Pure Semantic
##hema,2.5134796e-09,Pure Semantic
##s,-1.1641395e-09,Pure Semantic
",",-1.4281669e-09,Pure Semantic
cube,1.4212198e-10,Pure Semantic
##s,-8.844423e-10,Pure Semantic
and,-1.4092257e-09,Pure Semantic
##his,3.1573446e-09,Pure Semantic
##tory,-2.3914002e-09,Pure Semantic
##loading,-6.6678507e-10,Pure Semantic
##ski,3.2030028e-09,Pure Semantic
##lled,1.2509701e-09,Pure Semantic
in,-6.7156405e-09,Pure Semantic
writing,-2.1813042e-09,Pure Semantic
##t,-2.584812e-09,Pure Semantic
-,5.453792e-10,Pure Semantic
sql,-6.316479e-10,Pure Semantic
que,-1.6465385e-09,Pure Semantic
##ries,-5.4987e-10,Pure Semantic
",",-2.9498994e-09,Pure Semantic
dynamic,8.35841e-10,Pure Semantic
-,-5.037297e-10,Pure Semantic
que,-1.1733878e-09,Pure Semantic
##ries,-1.4733635e-09,Pure Semantic
",",-3.5596588e-09,Pure Semantic
sub,-2.4672488e-09,Pure Semantic
-,1.1937343e-09,Pure Semantic
que,-2.6594003e-09,Pure Semantic
##ries,3.884206e-09,Pure Semantic
and,-1.3414478e-09,Pure Semantic
joins,-3.8550896e-10,Pure Semantic
for,-4.370208e-09,Pure Semantic
generating,-1.8823676e-09,Pure Semantic
##stor,-3.0041347e-10,Pure Semantic
##ed,1.984194e-09,Pure Semantic
procedures,2.37647e-09,Pure Semantic
",",-3.0221303e-09,Pure Semantic
triggers,1.4136928e-09,Pure Semantic
",",-1.6940047e-09,Pure Semantic
user,-2.369161e-09,Pure Semantic
-,2.237122e-09,Pure Semantic
defined,7.1657835e-10,Pure Semantic
functions,2.9037914e-09,Pure Semantic
",",8.952119e-10,Pure Semantic
views,1.6103205e-09,Pure Semantic
and,1.2052774e-09,Pure Semantic
cu,-2.7532032e-09,Pure Semantic
##rso,2.1791489e-09,Pure Semantic
##rs,1.371796e-10,Pure Semantic
.,3.5176304e-09,Pure Semantic
experience,1.3947532e-10,Pure Semantic
with,4.4551224e-10,Pure Semantic
all,3.361133e-10,Pure Semantic
phases,1.3932812e-09,Pure Semantic
of,-4.0864861e-10,Pure Semantic
software,-1.2149637e-10,Pure Semantic
development,2.3285536e-09,Pure Semantic
life,2.0377833e-09,Pure Semantic
cycle,1.6055788e-09,Pure Semantic
(,-1.9321624e-09,Pure Semantic
sd,4.0941512e-09,Pure Semantic
##lc,5.23258e-09,Pure Semantic
),4.052179e-09,Pure Semantic
and,-4.2884712e-10,Pure Semantic
agile,1.5194489e-09,Pure Semantic
method,3.202468e-09,Pure Semantic
##ologies,2.3396505e-09,Pure Semantic
.,4.22975e-09,Pure Semantic
have,8.2445906e-10,Pure Semantic
delivered,2.574317e-10,Pure Semantic
as,4.5221923e-10,Pure Semantic
a,3.6672299e-10,Pure Semantic
team,-1.8407762e-09,Pure Semantic
member,4.7120197e-10,Pure Semantic
",",1.9933957e-10,Pure Semantic
team,-9.604884e-10,Pure Semantic
lead,5.795471e-10,Pure Semantic
and,9.173958e-10,Pure Semantic
as,1.1344946e-09,Pure Semantic
an,-7.066168e-11,Pure Semantic
independent,7.5086276e-10,Pure Semantic
consultant,-1.4007115e-09,Pure Semantic
on,6.894968e-10,Pure Semantic
medium,2.7326377e-09,Pure Semantic
to,1.1266346e-09,Pure Semantic
large,1.9859336e-09,Pure Semantic
scale,2.8318405e-09,Pure Semantic
projects,1.8099301e-09,Pure Semantic
.,4.653819e-09,Pure Semantic
skills,-1.9269564e-10,Pure Semantic
##da,7.715315e-10,Pure Semantic
##ta,6.193107e-10,Pure Semantic
/,1.7767784e-09,Pure Semantic
business,-6.673273e-11,Pure Semantic
/,1.2332602e-09,Pure Semantic
systems,4.5603095e-09,Pure Semantic
##to,1.9972053e-09,Pure Semantic
##ols,1.1989058e-09,Pure Semantic
:,1.572075e-09,Pure Semantic
ms,-9.476718e-10,Pure Semantic
sql,2.026563e-09,Pure Semantic
server,1.874661e-09,Pure Semantic
integration,3.6057854e-09,Pure Semantic
(,-2.761719e-10,Pure Semantic
ss,-2.611218e-10,Pure Semantic
##is,3.9605763e-09,Pure Semantic
),1.994652e-09,Pure Semantic
",",-1.8142885e-09,Pure Semantic
analysis,4.417449e-09,Pure Semantic
services,1.384111e-09,Pure Semantic
